	BIOCHEMICAL	SUPER PATHWAY	Pathway	Feature	PLATFORM	CHEMICAL ID	RT	MZ	PUBCHEM	CAS	HMDB_ID	KEGG
52932	4-hydroxyphenylacetatoylcarnitine	Amino Acid	Tyrosine Metabolism	4-hydroxyphenylacetatoylcarnitine	LC/MS Pos Early	100006619	2730	296.1493				
1669	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	4-hydroxyphenylpyruvate	LC/MS Neg	1141	1690	179.035	979	156-39-8	HMDB00707	C01179
48457	4-methoxyphenol sulfate	Amino Acid	Tyrosine Metabolism	4-methoxyphenol sulfate	LC/MS Neg	100006262	2412	203.002		3233-60-1		
22116	4-methyl-2-oxopentanoate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	4-methyl-2-oxopentanoate	LC/MS Neg	100000551	2170	129.0557	70	816-66-0	HMDB00695	C00233
46146	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	4-methylcatechol sulfate	LC/MS Neg	100004111	2665	203.002				
48418	4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	4-methylguaiacol sulfate	LC/MS Neg	100006105	2978	217.0176		756760-43-7		
36098	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	4-vinylphenol sulfate	LC/MS Neg	100001755	3320	199.0071	6426766	2628-17-3	HMDB62775	C05627
1418	"5,6-dihydrothymine"	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	"5,6-dihydrothymine"	LC/MS Neg	158	1637.8	127.0513	93556	696-04-8	HMDB00079	C00906
1559	"5,6-dihydrouracil"	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	"5,6-dihydrouracil"	LC/MS Neg	1125	1120	113.0357	649	504-07-4	HMDB00076	C00429
61833	"5,6-dihydrouridine"	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	"5,6-dihydrouridine"	LC/MS Neg	100001425	1119	245.0779	94312	5/4/27		
43582	5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	5-(galactosylhydroxy)-L-lysine	LC/MS Pos Early	100002462	2755	325.1606	123986	32448-36-5		
34424	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	5-acetylamino-6-amino-3-methyluracil	LC/MS Polar	100001403	1710	197.068	88299	1196153-01-1	HMDB04400	C16366
33968	5-dodecenoate (12:1n7)	Lipid	Medium Chain Fatty Acid	5-dodecenoate (12:1n7)	LC/MS Neg	100001232	5224	197.1547	5312378	2430-94-6	HMDB00529	
31938	5-hydroxyhexanoate	Lipid	"Fatty Acid, Monohydroxy"	5-hydroxyhexanoate	LC/MS Neg	100001148	1267	131.0714	170748	44843-89-2	HMDB00525	
15685	5-hydroxylysine	Amino Acid	Lysine Metabolism	5-hydroxylysine	LC/MS Pos Early	100000054	2790	163.1077	1029	13204-98-3	HMDB00450	C16741
1419	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	5-methylthioadenosine (MTA)	LC/MS Pos Early	212	2752	298.0968	439176	2457-80-9	HMDB01173	C00170
35136	5-methyluridine (ribothymidine)	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	5-methyluridine (ribothymidine)	LC/MS Neg	100001446	1778.1	257.0779	445408	1463-10-1	HMDB00884	
1494	5-oxoproline	Amino Acid	Glutathione Metabolism	5-oxoproline	LC/MS Neg	1021	738.5	128.0353	7405	98-79-3	HMDB00267	C01879
37184	"5alpha-androstan-3alpha,17beta-diol disulfate"	Lipid	Androgenic Steroids	"5alpha-androstan-3alpha,17beta-diol disulfate"	LC/MS Neg	100002017	4275	225.0697				
37186	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	Lipid	Androgenic Steroids	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	LC/MS Neg	100002018	4925	371.1898				
37185	"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"	Lipid	Androgenic Steroids	"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"	LC/MS Neg	100006005	5080	371.1898				
37187	"5alpha-androstan-3beta,17alpha-diol disulfate"	Lipid	Androgenic Steroids	"5alpha-androstan-3beta,17alpha-diol disulfate"	LC/MS Neg	100002021	4215	225.0697				
37190	"5alpha-androstan-3beta,17beta-diol disulfate"	Lipid	Androgenic Steroids	"5alpha-androstan-3beta,17beta-diol disulfate"	LC/MS Neg	100001987	3880	225.0697	242332	571-20-0	HMDB00493	C12525
37192	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	Lipid	Androgenic Steroids	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	LC/MS Neg	100002024	4685	371.1898				
37198	"5alpha-pregnan-3beta,20alpha-diol disulfate"	Lipid	Progestin Steroids	"5alpha-pregnan-3beta,20alpha-diol disulfate"	LC/MS Neg	100001988	3962	239.0853				
37200	"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"	Lipid	Progestin Steroids	"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"	LC/MS Neg	100002014	5060	399.2211				
37196	"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"	Lipid	Progestin Steroids	"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"	LC/MS Neg	100002009	5180	399.2211				
62503	6-bromotryptophan	Amino Acid	Tryptophan Metabolism	6-bromotryptophan	LC/MS Neg	100020414	3565	280.9931				
48698	6-hydroxyindole sulfate	Xenobiotics	Chemical	6-hydroxyindole sulfate	LC/MS Neg	100006260	2498	212.0023	122198196			
43231	6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	6-oxopiperidine-2-carboxylate	LC/MS Neg	100004499	965	142.051	3014237	34622-39-4	HMDB61705	
36776	7-HOCA	Lipid	Sterol	7-HOCA	LC/MS Neg	100001609	5288.1	429.301	3081085	115538-85-7	HMDB12458	C17337
35114	7-methylguanine	Nucleotide	"Purine Metabolism, Guanine containing"	7-methylguanine	LC/MS Pos Early	100001456	2175	166.0723	11361	578-76-7	HMDB00897	C02242
34390	7-methylxanthine	Xenobiotics	Xanthine Metabolism	7-methylxanthine	LC/MS Pos Early	100001396	1350	167.0564	68374	552-62-5	HMDB01991	C16353
38399	"9,10-DiHOME"	Lipid	"Fatty Acid, Dihydroxy"	"9,10-DiHOME"	LC/MS Neg	179	5180	313.2384	9966640	263399-34-4	HMDB04704	C14828
47120	9-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	9-hydroxystearate	LC/MS Neg	100005834	5384	299.2592	9570127	25498-28-6	HMDB61661	
48569	acesulfame	Xenobiotics	Food Component/Plant	acesulfame	LC/MS Neg	100006203	1581	161.9867	36573	55589-62-3	HMDB33585	
33963	acetoacetate	Lipid	Ketone Bodies	acetoacetate	LC/MS Pos Early	1218	1062	103.039	96	11/2/83	HMDB00060	C00164
32198	acetylcarnitine (C2)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"	acetylcarnitine (C2)	LC/MS Pos Early	100000802	2282	204.123	1	5080-50-2	HMDB00201	C02571
43258	acisoga	Amino Acid	Polyamine Metabolism	acisoga	LC/MS Neg	100004541	2297	183.1139	129397	106692-36-8		
46173	aconitate [cis or trans]	Energy	TCA Cycle	aconitate [cis or trans]	LC/MS Neg	100001359	580	173.0092				
32342	AMP	Nucleotide	"Purine Metabolism, Adenine containing"	AMP	LC/MS Pos Early	209	1013	348.0704	6083	149022-20-8	HMDB00045	C00020
21134	adipate	Lipid	"Fatty Acid, Dicarboxylate"	adipate	LC/MS Polar	100000863	3000	145.0506	196	124-04-9	HMDB00448	C06104
52988	adipoylcarnitine (C6-DC)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	adipoylcarnitine (C6-DC)	LC/MS Pos Early	100006614	2570	290.1598	71296139		HMDB61677	
32980	adrenate (22:4n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	adrenate (22:4n6)	LC/MS Neg	100001193	5678	331.2643	5497181	2091-25-0	HMDB02226	C16527
1126	alanine	Amino Acid	Alanine and Aspartate Metabolism	alanine	LC/MS Pos Early	811	1700	90.055	5950	56-41-7	HMDB00161	C00041
1107	allantoin	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	allantoin	LC/MS Polar	1002	1672	157.0367	204	97-59-6	HMDB00462	C02350
41494	alliin	Xenobiotics	Food Component/Plant	alliin	LC/MS Pos Early	100003473	1470	178.0532	87310	556-27-4	HMDB33592	C08265
37073	alpha-hydroxycaproate	Lipid	"Fatty Acid, Monohydroxy"	alpha-hydroxycaproate	LC/MS Neg	100001723	1920	131.0714	99824	6064-63-7	HMDB01624	
22132	alpha-hydroxyisocaproate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	alpha-hydroxyisocaproate	LC/MS Neg	100000706	1840	131.0714	83697	10303-64-7	HMDB00746	C03264
33937	alpha-hydroxyisovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	alpha-hydroxyisovalerate	LC/MS Neg	100001300	1126	117.0557	99823	600-37-3	HMDB00407	
4968	alpha-ketobutyrate	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	alpha-ketobutyrate	LC/MS Polar	796	940	101.0244	58	600-18-0	HMDB00005	C00109
62101	alpha-ketoglutaramate*	Amino Acid	Glutamate Metabolism	alpha-ketoglutaramate*	LC/MS Polar	100002397	1916	144.0302	48	18465-19-5		
528	alpha-ketoglutarate	Energy	TCA Cycle	alpha-ketoglutarate	LC/MS Polar	93	2700	145.0143	51	305-72-6;328-50-7;22202-68-2	HMDB00208	C00026
1561	alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	alpha-tocopherol	LC/MS Pos Late	1105	2522	430.3782	14985	59-02-9;10191-41-0	HMDB01893	C02477
32827	andro steroid monosulfate C19H28O6S (1)*	Lipid	Androgenic Steroids	andro steroid monosulfate C19H28O6S (1)*	LC/MS Neg	100002152	3871	383.1534				
37209	"androstenediol (3alpha, 17alpha) monosulfate (3)"	Lipid	Androgenic Steroids	"androstenediol (3alpha, 17alpha) monosulfate (3)"	LC/MS Neg	100002027	5180	369.1741				
37202	"androstenediol (3beta,17beta) disulfate (1)"	Lipid	Androgenic Steroids	"androstenediol (3beta,17beta) disulfate (1)"	LC/MS Neg	100001992	3740	224.0618	87120982		HMDB03818	C04295
37203	"androstenediol (3beta,17beta) disulfate (2)"	Lipid	Androgenic Steroids	"androstenediol (3beta,17beta) disulfate (2)"	LC/MS Neg	100001994	4065	224.0624				
37211	"androstenediol (3beta,17beta) monosulfate (1)"	Lipid	Androgenic Steroids	"androstenediol (3beta,17beta) monosulfate (1)"	LC/MS Neg	100002028	4535	369.1741	13847309	521-17-5	HMDB03818	
61846	androsterone glucuronide	Lipid	Androgenic Steroids	androsterone glucuronide	LC/MS Neg	100002761	4953	465.2494	114833	1852-43-3	HMDB02829	C11135
31591	androsterone sulfate	Lipid	Androgenic Steroids	androsterone sulfate	LC/MS Neg	100001073	5022	369.1741	159663	2479-86-9	HMDB02759	
575	arabinose	Carbohydrate	Pentose Metabolism	arabinose	LC/MS Polar	828	1804.5	195.051	66308	28697-53-2	HMDB00646	C00216
48885	arabitol/xylitol	Carbohydrate	Pentose Metabolism	arabitol/xylitol	LC/MS Polar	100006430	1932.4	151.0612				
48255	arabonate/xylonate	Carbohydrate	Pentose Metabolism	arabonate/xylonate	LC/MS Polar	100006115	2700	165.0405				
1118	arachidate (20:0)	Lipid	Long Chain Saturated Fatty Acid	arachidate (20:0)	LC/MS Neg	893	6240	311.2956	10467	506-30-9	HMDB02212	C06425
1110	arachidonate (20:4n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	arachidonate (20:4n6)	LC/MS Neg	229	5535	303.233	444899	506-32-1	HMDB01043	C00219
57518	arachidonoylcarnitine (C20:4)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	arachidonoylcarnitine (C20:4)	LC/MS Pos Late	100015837	1353	448.3422				
53261	arachidonoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	arachidonoylcholine	LC/MS Pos Late	100009332	1390	390.3367				
57461	argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	argininate*	LC/MS Pos Early	100002769	2150	176.103	160437	157-07-3	HMDB03148	
1638	arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	arginine	LC/MS Pos Early	231	2825	175.119	232	1119-34-2	HMDB00517	C00062
63590	ascorbic acid 2-sulfate	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	ascorbic acid 2-sulfate	LC/MS Polar	100009329	3042	254.9816	86484			
63687	ascorbic acid 3-sulfate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	ascorbic acid 3-sulfate*	LC/MS Polar	100020409	2025	254.9815	11425365			
512	asparagine	Amino Acid	Alanine and Aspartate Metabolism	asparagine	LC/MS Pos Early	917	1225	133.0608	6267	70-47-3	HMDB00168	C00152
443	aspartate	Amino Acid	Alanine and Aspartate Metabolism	aspartate	LC/MS Pos Early	234	1165	134.0448	5960	56-84-8	HMDB00191	C00049
18362	azelate (C9-DC)	Lipid	"Fatty Acid, Dicarboxylate"	azelate (C9-DC)	LC/MS Polar	2029	2520	187.0976	2266	123-99-9	HMDB00784	C08261
15778	benzoate	Xenobiotics	Benzoate Metabolism	benzoate	LC/MS Neg	100000008	1750	121.0295	243	65-85-0	HMDB01870	C00180
55	beta-alanine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	beta-alanine	LC/MS Pos Early	244	1905	90.055	239	56-41-7;107-95-9	HMDB00056	C00099
54923	beta-citrylglutamate	Amino Acid	Glutamate Metabolism	beta-citrylglutamate	LC/MS Neg	100003271	530	320.0623	72715786	73590-26-8		C20775
57591	beta-cryptoxanthin	Cofactors and Vitamins	Vitamin A Metabolism	beta-cryptoxanthin	LC/MS Pos Late	100001977	2560	552.4326	6384256	472-70-8	HMDB33844	
12129	beta-hydroxyisovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	beta-hydroxyisovalerate	LC/MS Neg	1442	1027	117.0557	69362	625-08-1	HMDB00754	
35433	beta-hydroxyisovaleroylcarnitine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	beta-hydroxyisovaleroylcarnitine	LC/MS Pos Early	100001594	2584	262.1649		99159-87-2		
3141	betaine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	betaine	LC/MS Pos Early	799	1064	118.0863	247	107-43-7	HMDB00043	C00719
32586	"bilirubin (E,E)*"	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	"bilirubin (E,E)*"	LC/MS Neg	100001950	4294	583.2562	5315454			
47886	"bilirubin (E,Z or Z,E)*"	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	"bilirubin (E,Z or Z,E)*"	LC/MS Pos Late	100001951	1265	585.2708	5799469		HMDB00488	
43807	bilirubin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	bilirubin	LC/MS Pos Late	1090	1840	585.2708	5280352	635-65-4	HMDB00054	C00486
2137	biliverdin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	biliverdin	LC/MS Pos Late	250	1016	583.2551	5353439	55482-27-4;55482-27-4	HMDB01008	C00500
63191	branched chain 14:0 dicarboxylic acid	Lipid	"Fatty Acid, Dicarboxylate"	branched chain 14:0 dicarboxylic acid	LC/MS Neg	100021374	3849	257.1758				
63615	"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"	Partially Characterized Molecules	Partially Characterized Molecules	"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"	LC/MS Neg	100021666	4805	169.1234				
63616	"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*"	Partially Characterized Molecules	Partially Characterized Molecules	"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*"	LC/MS Neg	100021667	4853	169.1234				
63683	"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*"	Partially Characterized Molecules	Partially Characterized Molecules	"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*"	LC/MS Neg	100021709	5261	197.1546				
40605	butyrate/isobutyrate (4:0)	Lipid	Short Chain Fatty Acid	butyrate/isobutyrate (4:0)	LC/MS Neg	1143	1062	87.0452	264	109-92-6	HMDB00039	C00246
32412	butyrylcarnitine (C4)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	butyrylcarnitine (C4)	LC/MS Pos Early	100001054	2860	232.1543	439829	25576-40-3	HMDB02013	C02862
48782	C-glycosyltryptophan	Amino Acid	Tryptophan Metabolism	C-glycosyltryptophan	LC/MS Neg	100006379	1777	365.1354	10981970	180509-18-6		
569	caffeine	Xenobiotics	Xanthine Metabolism	caffeine	LC/MS Pos Early	849	2106	195.0877	2519	58-08-2	HMDB01847	C07481
1642	caprate (10:0)	Lipid	Medium Chain Fatty Acid	caprate (10:0)	LC/MS Neg	888	5090.7	171.1391	2969	334-48-5	HMDB00511	C01571
32489	caproate (6:0)	Lipid	Medium Chain Fatty Acid	caproate (6:0)	LC/MS Neg	926	2713.7	115.0765	8892	142-62-1	HMDB00535	C01585
32492	caprylate (8:0)	Lipid	Medium Chain Fatty Acid	caprylate (8:0)	LC/MS Neg	932	4362	143.1078	379	124-07-2	HMDB00482	C06423
15500	carnitine	Lipid	Carnitine Metabolism	carnitine	LC/MS Pos Early	100000007	1978	162.1125	10917	461-05-2	HMDB00062	C00318
63650	carnitine of C10H14O2 (5)*	Partially Characterized Molecules	Partially Characterized Molecules	carnitine of C10H14O2 (5)*	LC/MS Neg	100021678	4521	370.1871				
57635	carotene diol (1)	Cofactors and Vitamins	Vitamin A Metabolism	carotene diol (1)	LC/MS Pos Late	100015966	1720	568.4276				
57636	carotene diol (2)	Cofactors and Vitamins	Vitamin A Metabolism	carotene diol (2)	LC/MS Pos Late	100015967	1904	568.4279				
57637	carotene diol (3)	Cofactors and Vitamins	Vitamin A Metabolism	carotene diol (3)	LC/MS Pos Late	100015968	1948	568.4279				
35320	catechol sulfate	Xenobiotics	Benzoate Metabolism	catechol sulfate	LC/MS Neg	100001605	1906	188.9863	3083879	4918-96-1	HMDB59724	
57516	cerotoylcarnitine (C26)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	cerotoylcarnitine (C26)*	LC/MS Pos Late	100015835	1649	540.4986			HMDB06347	
54745	cetirizine	Xenobiotics	Drug - Respiratory	cetirizine	LC/MS Pos Late	100009034	1052	389.1627	2678	83881-51-0	HMDB05032	C07778
1563	chenodeoxycholate	Lipid	Primary Bile Acid Metabolism	chenodeoxycholate	LC/MS Neg	1123	5264	391.2854	10133	474-24-9;474-25-9	HMDB00518	C02528
22842	cholate	Lipid	Primary Bile Acid Metabolism	cholate	LC/MS Neg	136	5165	407.2803	221493	81-25-4	HMDB00619	C00695
63	cholesterol	Lipid	Sterol	cholesterol	LC/MS Pos Late	266	2707	369.3516	11025495	57-88-5	HMDB00067	C00187
15506	choline	Lipid	Phospholipid Metabolism	choline	LC/MS Pos Early	1256	1961	104.107	305	67-48-1	HMDB00097	C00114
34396	phosphocholine	Lipid	Phospholipid Metabolism	phosphocholine	LC/MS Pos Early	267	700	184.0733	1014	72556-74-2	HMDB01565	C00588
64390	"cis-3,4-methyleneheptanoate"	Lipid	"Fatty Acid, Branched"	"cis-3,4-methyleneheptanoate"	LC/MS Neg	100021727	3679	141.0921				
64389	"cis-3,4-methyleneheptanoylcarnitine"	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	"cis-3,4-methyleneheptanoylcarnitine"	LC/MS Pos Late	100021728	845	286.2013				
64386	"cis-3,4-methyleneheptanoylglycine"	Lipid	Fatty Acid Metabolism (Acyl Glycine)	"cis-3,4-methyleneheptanoylglycine"	LC/MS Neg	100021992	3731	198.1136				
62873	cis-4-decenoate (10:1n6)*	Lipid	Medium Chain Fatty Acid	cis-4-decenoate (10:1n6)*	LC/MS Neg	100002796	4890	169.1234	5312351	505-90-8		
38178	cis-4-decenoylcarnitine (C10:1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	cis-4-decenoylcarnitine (C10:1)	LC/MS Pos Late	100002259	1057	314.2326		98930-66-6		
47076	citraconate/glutaconate	Energy	TCA Cycle	citraconate/glutaconate	LC/MS Polar	100006438	2600	129.0194				
1564	citrate	Energy	TCA Cycle	citrate	LC/MS Neg	1124	582	191.0197	311	77-92-9	HMDB00094	C00158
2132	citrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	citrulline	LC/MS Pos Early	391	1520	176.103	9750	372-75-8	HMDB00904	C00327
1712	cortisol	Lipid	Corticosteroids	cortisol	LC/MS Neg	356	4710	361.202	5754	50-23-7	HMDB00063	C00735
1769	cortisone	Lipid	Corticosteroids	cortisone	LC/MS Neg	273	4575	359.1864	222786	53-06-5	HMDB02802	C00762
57699	cortolone glucuronide (1)	Lipid	Corticosteroids	cortolone glucuronide (1)	LC/MS Neg	100015971	4600	541.2654				
553	cotinine	Xenobiotics	Tobacco Metabolite	cotinine	LC/MS Pos Early	848	2213	177.1022	854019	486-56-6	HMDB01046	
27718	creatine	Amino Acid	Creatine Metabolism	creatine	LC/MS Pos Early	1221	1947	132.0768	586	57-00-1	HMDB00064	C00300
513	creatinine	Amino Acid	Creatine Metabolism	creatinine	LC/MS Pos Early	275	2055	114.0662	588	60-27-5	HMDB00562	C00791
18368	"cys-gly, oxidized"	Amino Acid	Glutathione Metabolism	"cys-gly, oxidized"	LC/MS Pos Early	1224	2947	355.0741	333293	7729-20-6		
15705	cystathionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	cystathionine	LC/MS Pos Early	310	2270	223.0747	439258	535-34-2	HMDB00099	C02291
1868	cysteine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	cysteine	LC/MS Pos Early	800	1475	122.027	5862	52-90-4;56-89-3	HMDB00574	C00097
22176	cysteine s-sulfate	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	cysteine s-sulfate	LC/MS Polar	100000808	2273	199.9693	115015	1637-71-4	HMDB00731	C05824
35159	cysteine-glutathione disulfide	Amino Acid	Glutathione Metabolism	cysteine-glutathione disulfide	LC/MS Pos Early	100001437	2465	427.0952	4247235	13081-14-6	HMDB00656	
35637	cysteinylglycine	Amino Acid	Glutathione Metabolism	cysteinylglycine	LC/MS Pos Early	278	2132	179.0485	439498	19246-18-5	HMDB00078	C01419
62103	cysteinylglycine disulfide*	Amino Acid	Glutathione Metabolism	cysteinylglycine disulfide*	LC/MS Pos Early	100002466	2547	298.0526		70555-24-7	HMDB00709	
56	cystine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	cystine	LC/MS Pos Early	279	2000	241.0311	67678	56-89-3	HMDB00192	C00491
63685	decadienedioic acid (C10:2-DC)	Lipid	"Fatty Acid, Dicarboxylate"	decadienedioic acid (C10:2-DC)	LC/MS Polar	100021711	2329.7	197.0819				
33941	decanoylcarnitine (C10)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	decanoylcarnitine (C10)	LC/MS Pos Late	100001251	1130	316.2482	10245190	1492-27-9	HMDB00651	
32425	dehydroepiandrosterone sulfate (DHEA-S)	Lipid	Androgenic Steroids	dehydroepiandrosterone sulfate (DHEA-S)	LC/MS Neg	100000792	4745	367.1585	12594	651-48-9	HMDB01032	C04555
62287	delta-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	delta-CEHC	LC/MS Neg	100020416	3422	249.1132	11536125	84599-16-6		
36747	deoxycarnitine	Lipid	Carnitine Metabolism	deoxycarnitine	LC/MS Pos Early	100001662	2052	146.1176	134	6249-56-5	HMDB01161	C01181
1114	deoxycholate	Lipid	Secondary Bile Acid Metabolism	deoxycholate	LC/MS Neg	302	5294	391.2854	222528	83-44-3	HMDB00626	C04483
63688	deoxycholic acid 12-sulfate*	Lipid	Secondary Bile Acid Metabolism	deoxycholic acid 12-sulfate*	LC/MS Neg	100021712	4580	235.1175				
63610	deoxycholic acid glucuronide	Lipid	Secondary Bile Acid Metabolism	deoxycholic acid glucuronide	LC/MS Neg	100020550	4800	567.3175				
17805	dihomolinoleate (20:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	dihomolinoleate (20:2n6)	LC/MS Neg	1231	5730	307.2643	6439848	2091-39-6	HMDB05060	C16525
35718	dihomolinolenate (20:3n3 or 3n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	dihomolinolenate (20:3n3 or 3n6)	LC/MS Neg	100001739	5596	305.2486	5280581	17046-59-2	HMDB02925	C03242
53262	dihomo-linolenoyl-choline	Lipid	Fatty Acid Metabolism (Acyl Choline)	dihomo-linolenoyl-choline	LC/MS Pos Late	100009335	1424	392.3523				
57521	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	LC/MS Pos Late	100015840	1392	450.3578				
57520	dihomo-linoleoylcarnitine (C20:2)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	dihomo-linoleoylcarnitine (C20:2)*	LC/MS Pos Late	100015839	1436	452.3734				
601	dihydroorotate	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	dihydroorotate	LC/MS Polar	923	1910	157.0255	648	155-54-4	HMDB03349	C00337
43424	dimethyl sulfone	Xenobiotics	Chemical	dimethyl sulfone	LC/MS Pos Early	100004284	832	95.0161	6213	67-71-0	HMDB04983	C11142
36808	dimethylarginine (ADMA + SDMA)	Amino Acid	Urea cycle; Arginine and Proline Metabolism	dimethylarginine (ADMA + SDMA)	LC/MS Pos Early	100001810	2850	203.1503	123831	102783-24-4	HMDB01539	C03626
5086	dimethylglycine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	dimethylglycine	LC/MS Pos Early	806	1104	104.0706	673	1118-68-9	HMDB00092	C01026
32415	docosadienoate (22:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosadienoate (22:2n6)	LC/MS Neg	100001182	6034	335.2956	5282807	7370-49-2	HMDB61714	C16533
39837	docosadioate (C22-DC)	Lipid	"Fatty Acid, Dicarboxylate"	docosadioate (C22-DC)	LC/MS Neg	100002952	5291.8	369.301	244872	505-56-6		C19625
44675	docosahexaenoate (DHA; 22:6n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosahexaenoate (DHA; 22:6n3)	LC/MS Neg	100000665	5525	327.233	445580	6217-54-5	HMDB02183	C06429
53263	docosahexaenoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	docosahexaenoylcholine	LC/MS Pos Late	100009333	1378	414.3367				
32504	docosapentaenoate (DPA; 22:5n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosapentaenoate (DPA; 22:5n3)	LC/MS Neg	100001181	5571	329.2486	6441454	2234-74-4	HMDB06528	C16513
37478	docosapentaenoate (n6 DPA; 22:5n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosapentaenoate (n6 DPA; 22:5n6)	LC/MS Neg	100001580	5624.5	329.2486	6441454	25182-74-5	HMDB01976	C16513
32417	docosatrienoate (22:3n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosatrienoate (22:3n3)	LC/MS Neg	100001195	5823	333.2799	5312556	59708-86-0	HMDB02823	C16534
62276	dodecadienoate (12:2)*	Lipid	"Fatty Acid, Dicarboxylate"	dodecadienoate (12:2)*	LC/MS Neg	100020478	5146	195.1391				
